,open,high,low,close,adjclose,volume,ticker
2022-01-01,25.736841201782227,26.51644515991211,25.722213745117188,26.328039169311523,26.328039169311523,83575784,NEO-USD
2022-01-02,26.32680320739746,27.278921127319336,26.19343376159668,27.023569107055664,27.023569107055664,101596527,NEO-USD
2022-01-03,27.02326011657715,27.287349700927734,26.15758514404297,26.617944717407227,26.617944717407227,101505098,NEO-USD
2022-01-04,26.61871337890625,26.883604049682617,26.08209228515625,26.090160369873047,26.090160369873047,113956392,NEO-USD
2022-01-05,26.09186363220215,27.169918060302734,23.8366756439209,24.546018600463867,24.546018600463867,137645546,NEO-USD
2022-01-06,24.546417236328125,24.8542537689209,23.830364227294922,24.75143814086914,24.75143814086914,118126054,NEO-USD
2022-01-07,24.750028610229492,24.772838592529297,22.996707916259766,23.676801681518555,23.676801681518555,127675381,NEO-USD
2022-01-08,23.681615829467773,24.467275619506836,22.715497970581055,23.17588233947754,23.17588233947754,102175660,NEO-USD
2022-01-09,23.175809860229492,24.09263801574707,23.071258544921875,23.701976776123047,23.701976776123047,70847958,NEO-USD
2022-01-10,23.703208923339844,24.21714973449707,21.99978256225586,22.702186584472656,22.702186584472656,112596584,NEO-USD
2022-01-11,22.700517654418945,23.84560203552246,22.63188362121582,23.81028938293457,23.81028938293457,84034931,NEO-USD
2022-01-12,23.812591552734375,24.972206115722656,23.79163932800293,24.74290657043457,24.74290657043457,86915639,NEO-USD
2022-01-13,24.741941452026367,24.871707916259766,23.58622169494629,23.58622169494629,23.58622169494629,77386731,NEO-USD
2022-01-14,23.58413314819336,25.02903938293457,23.47927474975586,24.892616271972656,24.892616271972656,97683688,NEO-USD
2022-01-15,24.893217086791992,25.82451629638672,24.870744705200195,25.382158279418945,25.382158279418945,102636097,NEO-USD
2022-01-16,25.3784122467041,25.406288146972656,24.877948760986328,25.155349731445312,25.155349731445312,69902914,NEO-USD
2022-01-17,25.156936645507812,25.20473861694336,23.677045822143555,23.992460250854492,23.992460250854492,82130754,NEO-USD
2022-01-18,23.99203872680664,25.770605087280273,23.570934295654297,25.43952178955078,25.43952178955078,179733142,NEO-USD
2022-01-19,25.441049575805664,26.00042152404785,23.723678588867188,23.91695785522461,23.91695785522461,126573358,NEO-USD
2022-01-20,23.91608428955078,24.658334732055664,22.69599723815918,22.697589874267578,22.697589874267578,73986866,NEO-USD
2022-01-21,22.710527420043945,22.936750411987305,19.391517639160156,19.53615951538086,19.53615951538086,138610250,NEO-USD
2022-01-22,19.541976928710938,19.98466682434082,16.50162124633789,17.809789657592773,17.809789657592773,171203563,NEO-USD
2022-01-23,17.81264877319336,18.855985641479492,17.682628631591797,18.573009490966797,18.573009490966797,100332789,NEO-USD
2022-01-24,18.573171615600586,18.57556915283203,16.205413818359375,18.10115623474121,18.10115623474121,140086996,NEO-USD
2022-01-25,18.102279663085938,18.3480224609375,17.613723754882812,18.232933044433594,18.232933044433594,92080604,NEO-USD
2022-01-26,18.228286743164062,19.712095260620117,17.80422592163086,18.16158676147461,18.16158676147461,115942789,NEO-USD
2022-01-27,18.1543025970459,18.396066665649414,17.3447265625,18.082902908325195,18.082902908325195,91791407,NEO-USD
2022-01-28,18.0761661529541,19.079647064208984,17.84571647644043,19.06962013244629,19.06962013244629,79281796,NEO-USD
2022-01-29,19.068601608276367,19.60392951965332,18.99057388305664,19.3030948638916,19.3030948638916,73665455,NEO-USD
2022-01-30,19.308368682861328,20.15865135192871,19.061290740966797,19.57577133178711,19.57577133178711,76107007,NEO-USD
